taxon,run,sample_size,n_taxa,n_random,change,diff,1.1,1.2,1.3,2.1,2.2,2.3,Student.t.test_pvals,Student.t.test_pvalsAdj,Student.t.test_effect
569,1,2,10000,75,2,FALSE,21,14,NA,13,11,NA,0.3585059015412023,0.6154818342743119,1.5146673056533366
575,1,2,10000,75,2,TRUE,4,6,NA,10,20,NA,0.3023041039126806,0.6154818342743119,-1.8572898537692182
584,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
592,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
596,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
607,1,2,10000,75,2,FALSE,5,1,NA,3,2,NA,0.8460764101971472,0.9033064415998793,0.24205093024563093
663,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
667,1,2,10000,75,2,TRUE,207,215,NA,442,334,NA,0.1529480383299949,0.6154818342743119,-4.008748735419615
704,1,2,10000,75,2,FALSE,15,11,NA,17,15,NA,0.35361644245141266,0.6154818342743119,-1.4709895595719247
765,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
792,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
794,1,2,10000,75,2,FALSE,68,88,NA,90,69,NA,0.9009030016484074,0.9531292626135325,-0.14119787866060549
805,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
816,1,2,10000,75,2,FALSE,2,1,NA,2,0,NA,0.6976123942718784,0.7910789092325767,0.4706080527540127
829,1,2,10000,75,2,FALSE,31,50,NA,41,41,NA,0.9447414080966896,0.9923183135404077,-0.08660102309877044
852,1,2,10000,75,2,FALSE,5,6,NA,9,9,NA,0.04933458311591991,0.6154818342743119,-6.548984447993745
874,1,2,10000,75,2,FALSE,2,1,NA,0,0,NA,0.20549418262165126,0.6154818342743119,2.989642749924947
881,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
888,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
889,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
920,1,2,10000,75,2,FALSE,4,1,NA,1,1,NA,0.5018558170376598,0.6154818342743119,0.9939437336423084
926,1,2,10000,75,2,TRUE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
951,1,2,10000,75,2,FALSE,28,36,NA,29,27,NA,0.5118122858623846,0.6214103429181551,0.9596081784048308
961,1,2,10000,75,2,FALSE,5,0,NA,4,4,NA,0.6512403781268445,0.7458082058632558,-0.6095220680228475
980,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
990,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1012,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1020,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1025,1,2,10000,75,2,FALSE,0,2,NA,2,1,NA,0.709914810207945,0.79762851980693,-0.4536384591154463
1074,1,2,10000,75,2,FALSE,10,10,NA,11,8,NA,0.775138662543976,0.8509040957249662,0.3686540591293692
1086,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1089,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1164,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1170,1,2,10000,75,2,FALSE,0,1,NA,0,1,NA,0.9829212490034414,0.9960107570002104,-0.02415973237247423
1203,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1257,1,2,10000,75,2,FALSE,1,0,NA,3,1,NA,0.3368187617842929,0.6154818342743119,-1.3795837071118766
1258,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1272,1,2,10000,75,2,FALSE,1,0,NA,1,0,NA,0.9901410822333696,0.9960107570002104,0.013943909466491607
1293,1,2,10000,75,2,FALSE,20,15,NA,14,11,NA,0.26606393844676185,0.6154818342743119,1.7740533990313423
1294,1,2,10000,75,2,FALSE,1,0,NA,1,1,NA,0.49574378136154484,0.6154818342743119,-1.0112059505058908
1298,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1313,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1327,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1329,1,2,10000,75,2,TRUE,9,5,NA,8,18,NA,0.4415516288348851,0.6154818342743119,-1.0850745921906684
1347,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1374,1,2,10000,75,2,FALSE,0,0,NA,1,3,NA,0.30476450466822175,0.6154818342743119,-1.9268239878761637
1376,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1405,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1428,1,2,10000,75,2,TRUE,0,0,NA,0,4,NA,0.49999999999999956,0.6154818342743119,-1
1431,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1457,1,2,10000,75,2,FALSE,14,17,NA,8,16,NA,0.5833535701598334,0.6882393635825105,0.7204300479450997
1544,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1546,1,2,10000,75,2,FALSE,419,422,NA,479,464,NA,0.04564792385380938,0.6154818342743119,-11.515360014378684
1559,1,2,10000,75,2,FALSE,1234,1143,NA,1008,1044,NA,0.14072862038677508,0.6154818342743119,2.379279779504575
1575,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1595,1,2,10000,75,2,FALSE,9,7,NA,6,5,NA,0.21849014308079706,0.6154818342743119,2.303903346137236
1599,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1607,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1624,1,2,10000,75,2,FALSE,56,76,NA,78,60,NA,0.8154202596186256,0.8831541741264057,-0.26852549654568586
1637,1,2,10000,75,2,FALSE,1,0,NA,1,0,NA,0.9901410822333696,0.9960107570002104,0.013943909466491607
1639,1,2,10000,75,2,FALSE,92,118,NA,106,98,NA,0.8868735342952894,0.9434137413997249,0.1787562755720858
1657,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1662,1,2,10000,75,2,FALSE,16,4,NA,12,11,NA,0.8377690506372912,0.8975159733711898,-0.26036452577111874
1665,1,2,10000,75,2,FALSE,3,1,NA,2,1,NA,0.709249161842999,0.79762851980693,0.45497969722605464
1684,1,2,10000,75,2,FALSE,1,0,NA,1,0,NA,0.9901410822333696,0.9960107570002104,0.013943909466491607
1695,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1713,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1739,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1746,1,2,10000,75,2,TRUE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1750,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1753,1,2,10000,75,2,TRUE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1764,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
1779,1,2,10000,75,2,FALSE,4,5,NA,7,4,NA,0.5955817331014608,0.6984331970507089,-0.6894268767990127
1788,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1819,1,2,10000,75,2,FALSE,0,1,NA,0,1,NA,0.9829212490034414,0.9960107570002104,-0.02415973237247423
1844,1,2,10000,75,2,FALSE,1,1,NA,1,1,NA,0.818275403536531,0.8831541741264057,-0.29314493735664743
1876,1,2,10000,75,2,FALSE,1,1,NA,0,0,NA,8.274169707328355e-4,0.06903021584399656,769.4057971014358
1926,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
1930,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
1933,1,2,10000,75,2,FALSE,1,4,NA,1,3,NA,0.8286706852571237,0.8910151424605643,0.2492538481999496
1961,1,2,10000,75,2,TRUE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
1969,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2012,1,2,10000,75,2,FALSE,0,1,NA,3,0,NA,0.6275289157001607,0.7285822798586358,-0.6259052304154203
2022,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2029,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2057,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2081,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2102,1,2,10000,75,2,FALSE,10,15,NA,8,12,NA,0.5550445486666786,0.6628752892051949,0.7036232237810714
2114,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2125,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2126,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2132,1,2,10000,75,2,FALSE,2,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2147,1,2,10000,75,2,FALSE,0,0,NA,2,3,NA,0.1405850814376152,0.6154818342743119,-4.4545087754690345
2152,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2159,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2193,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2229,1,2,10000,75,2,FALSE,35,58,NA,47,46,NA,0.9802771151566263,0.9960107570002104,-0.030946267987798252
2256,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2279,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2283,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2286,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2290,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2298,1,2,10000,75,2,FALSE,36,26,NA,25,30,NA,0.6513051112846926,0.7458082058632558,0.5401380178022915
2304,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2308,1,2,10000,75,2,FALSE,5,9,NA,7,11,NA,0.5538252397786557,0.6628752892051949,-0.7068863692382391
2315,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2324,1,2,10000,75,2,FALSE,10,19,NA,19,10,NA,0.999947262912941,0.999947262912941,7.462838035233138e-5
2340,1,2,10000,75,2,FALSE,2,2,NA,8,7,NA,0.035549706965230986,0.6154818342743119,-17.882472492093473
2382,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2417,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2445,1,2,10000,75,2,FALSE,349,385,NA,310,298,NA,0.17531642506906406,0.6154818342743119,3.4528658063190623
2452,1,2,10000,75,2,FALSE,1138,1384,NA,1448,1340,NA,0.4464306919600113,0.6154818342743119,-1.15959268123241
2455,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2458,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2462,1,2,10000,75,2,FALSE,7,2,NA,3,4,NA,0.7669950278949125,0.843686935651374,0.37423697704985914
2492,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2502,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2548,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2552,1,2,10000,75,2,FALSE,10,6,NA,17,7,NA,0.5528315467104289,0.6628752892051949,-0.7706427703347142
2575,1,2,10000,75,2,FALSE,42,40,NA,33,34,NA,0.058622619981880626,0.6154818342743119,4.187555906938364
2603,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2605,1,2,10000,75,2,FALSE,195,170,NA,178,229,NA,0.589388645165285,0.6939575983397711,-0.6927431395075092
2609,1,2,10000,75,2,FALSE,0,2,NA,0,1,NA,0.7216866653677932,0.8043225430816627,0.42864414907604503
2610,1,2,10000,75,2,FALSE,7,6,NA,8,2,NA,0.688466019943782,0.7822259837493554,0.5242676567966813
2636,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2650,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2652,1,2,10000,75,2,TRUE,8,13,NA,14,10,NA,0.6654923920520323,0.7590772596843492,-0.5116585135778429
2664,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2677,1,2,10000,75,2,FALSE,6,0,NA,1,1,NA,0.6265863592508549,0.7285822798586358,0.6645501411988088
2691,1,2,10000,75,2,FALSE,8614,8752,NA,7491,7225,NA,0.003990296121390339,0.29129161686149474,15.810088638268063
2708,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2757,1,2,10000,75,2,FALSE,6,4,NA,8,6,NA,0.2646335299081154,0.6154818342743119,-1.5554301019114758
2758,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2761,1,2,10000,75,2,FALSE,3,3,NA,2,3,NA,0.5613873454106764,0.6663622148777134,0.8235802707629827
2786,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2831,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2842,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
2860,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2889,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
2921,1,2,10000,75,2,FALSE,4,2,NA,3,0,NA,0.4916146201370344,0.6154818342743119,0.8577241323155834
2923,1,2,10000,75,2,TRUE,1,3,NA,0,6,NA,0.7846092577159607,0.8596844399739607,-0.33823966615416506
2952,1,2,10000,75,2,FALSE,6,5,NA,5,3,NA,0.31617169357616726,0.6154818342743119,1.4431260531190209
2954,1,2,10000,75,2,FALSE,79,94,NA,93,96,NA,0.4327580749760074,0.6154818342743119,-1.046124613663951
2973,1,2,10000,75,2,FALSE,0,1,NA,2,0,NA,0.7166555177945364,0.8017755218237724,-0.43796745303382034
2974,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
2989,1,2,10000,75,2,FALSE,2,2,NA,1,2,NA,0.5417286088934696,0.6550093324923111,0.8767892972362057
2997,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
3000,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3015,1,2,10000,75,2,FALSE,246,192,NA,211,178,NA,0.5435238837053169,0.6558222067849279,0.7921735208607247
3030,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3089,1,2,10000,75,2,FALSE,113,106,NA,150,128,NA,0.10782071374567846,0.6154818342743119,-3.6330914603839886
3117,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
3146,1,2,10000,75,2,FALSE,1048,1153,NA,1331,962,NA,0.8049601147986511,0.8737857008223276,-0.3040939547409475
3155,1,2,10000,75,2,FALSE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
3162,1,2,10000,75,2,TRUE,0,0,NA,0,2,NA,0.49999999999999956,0.6154818342743119,-1
3167,1,2,10000,75,2,FALSE,9,7,NA,11,14,NA,0.1926168454989103,0.6154818342743119,-2.211932167538001
3185,1,2,10000,75,2,FALSE,2,2,NA,1,1,NA,0.015532810734248618,0.6154818342743119,38.21708771064886
3186,1,2,10000,75,2,FALSE,1,1,NA,0,0,NA,8.274169707328355e-4,0.06903021584399656,769.4057971014358
3187,1,2,10000,75,2,FALSE,181,175,NA,184,160,NA,0.6319143932483261,0.7321659436557553,0.6034394624638779
3201,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3243,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3265,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3267,1,2,10000,75,2,TRUE,5,14,NA,12,22,NA,0.3910107980019677,0.6154818342743119,-1.096474685893524
3288,1,2,10000,75,2,FALSE,0,2,NA,4,4,NA,0.19937444801507365,0.6154818342743119,-3.0194552201892604
3290,1,2,10000,75,2,FALSE,1,2,NA,1,2,NA,0.9760776614785923,0.9960107570002104,-0.03386905762044248
3294,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3298,1,2,10000,75,2,FALSE,2,2,NA,2,2,NA,0.818275403536531,0.8831541741264057,-0.29314493735664743
3331,1,2,10000,75,2,TRUE,0,0,NA,2,2,NA,0.016321245541596086,0.6154818342743119,-38.997041420118435
3377,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3408,1,2,10000,75,2,TRUE,7,9,NA,24,22,NA,0.020261716608652138,0.6154818342743119,-14.1264311716638
3419,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3421,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3459,1,2,10000,75,2,FALSE,253,205,NA,260,189,NA,0.931840651609023,0.9805314243958007,0.09709122706527708
3465,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3466,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3489,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
3512,1,2,10000,75,2,FALSE,9,10,NA,7,11,NA,0.8941107432744548,0.9476600255395311,0.16496641887309196
3517,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3519,1,2,10000,75,2,TRUE,0,0,NA,0,2,NA,0.49999999999999956,0.6154818342743119,-1
3566,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3581,1,2,10000,75,2,FALSE,0,0,NA,1,2,NA,0.21769298155789601,0.6154818342743119,-2.809510390982741
3583,1,2,10000,75,2,FALSE,399,456,NA,500,462,NA,0.2781716454447986,0.6154818342743119,-1.9726366156224426
3641,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3656,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3709,1,2,10000,75,2,TRUE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
3719,1,2,10000,75,2,FALSE,1,2,NA,1,0,NA,0.28603905534170837,0.6154818342743119,1.4421380630073026
3730,1,2,10000,75,2,FALSE,23,32,NA,29,36,NA,0.4824034018764479,0.6154818342743119,-0.8555923848425178
3734,1,2,10000,75,2,FALSE,9,15,NA,7,15,NA,0.8930918851658085,0.9476600255395311,0.15427164426248433
3736,1,2,10000,75,2,FALSE,27,9,NA,10,8,NA,0.5011666900734203,0.6154818342743119,0.9903564993933919
3738,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3748,1,2,10000,75,2,TRUE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
3751,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
3757,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3792,1,2,10000,75,2,FALSE,5,7,NA,5,4,NA,0.35651946177510235,0.6154818342743119,1.3870638607658283
3854,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
3872,1,2,10000,75,2,TRUE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3874,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3881,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3904,1,2,10000,75,2,FALSE,1,3,NA,3,0,NA,0.7986141359218619,0.87013181973576,0.295783818583798
3910,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3918,1,2,10000,75,2,FALSE,7,9,NA,10,8,NA,0.49797774442442644,0.6154818342743119,-0.8303327545656444
3927,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
3968,1,2,10000,75,2,FALSE,0,0,NA,1,0,NA,0.49999999999999956,0.6154818342743119,-1
3977,1,2,10000,75,2,FALSE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
4004,1,2,10000,75,2,FALSE,101,121,NA,118,115,NA,0.6347303484219369,0.7325741570719587,-0.6377492953892158
4008,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
4028,1,2,10000,75,2,FALSE,1,1,NA,0,0,NA,8.274169707328355e-4,0.06903021584399656,769.4057971014358
4063,1,2,10000,75,2,FALSE,9,9,NA,13,5,NA,0.9941169884011317,0.9960107570002104,0.009241242198906995
4111,1,2,10000,75,2,FALSE,0,1,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
4122,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
4145,1,2,10000,75,2,TRUE,1,0,NA,0,0,NA,0.49999999999999956,0.6154818342743119,1
4200,1,2,10000,75,2,TRUE,0,0,NA,2,0,NA,0.49999999999999956,0.6154818342743119,-1
4202,1,2,10000,75,2,FALSE,0,0,NA,0,1,NA,0.49999999999999956,0.6154818342743119,-1
